AR,kx0_FEA,BC,load
1.8116720231065777,3.353915852515832,SS,shear
2.765854873283877,7.432361696555446,CL,axial
2.9230769230769234,3.992927385077802,SS,axial
4.429258798474291,4.031340221010398,SS,axial
1.8251401925975492,5.339054672833033,CL,shear
0.7493183913152682,4.327100559996,SS,axial
1.887429956186248,3.3250191311598476,SS,shear
1.2437286887003969,6.252069729859521,CL,shear
4.759395317724686,7.130641907496102,CL,axial
1.5972938883306753,8.209657253463309,CL,axial
2.915336872816386,7.375241895284652,CL,axial
4.590287597559372,7.153814109353834,CL,axial
4.148546747163705,3.994735540140052,SS,axial
2.665657441186382,2.985068508969444,SS,shear
1.5684712109871655,8.24650838862837,CL,axial
2.8680353173697353,7.3873553014385,CL,axial
4.7284236897906995,7.13332498222898,CL,axial
2.246381142084367,5.042587904792704,CL,shear
2.9594429358206176,4.8177576777424616,CL,shear
3.7432704547351463,7.226499581702663,CL,axial
2.9578606983297204,3.9897793282239236,SS,axial
1.5384615384615385,4.269599856054372,SS,axial
1.3314350487376987,4.327102566173888,SS,axial
3.6822284094519255,4.715843144341445,CL,shear
0.6188675129263008,14.332386108704327,CL,axial
1.0590070494628936,4.000862104021691,SS,axial
1.8755278242059368,4.004647093100839,SS,axial
3.1661025915049,7.3442012287158125,CL,axial
2.1822820154739935,4.019220642315969,SS,axial
1.35676219617,4.3722072126570755,SS,axial
3.250651285757148,4.015268174652081,SS,axial
1.8855752644237798,3.3256821473032705,SS,shear
3.153846153846154,4.000309554466996,SS,axial
4.609348982114124,4.64458087372689,CL,shear
4.775289596238011,4.64342429815253,CL,shear
0.5370625616759893,5.7341971301299415,SS,axial
0.5844604694124766,15.441710248411969,CL,axial
4.850282999775509,3.9510528764493458,SS,axial
2.7163394823133213,4.028656704764401,SS,axial
3.7893260735782746,4.00157095298499,SS,axial
3.6497699191577704,4.719847985816708,CL,shear
1.653846153846154,4.13279156425115,SS,axial
3.465657044563764,4.073160254622281,SS,axial
3.0384615384615388,3.9857178416850583,SS,axial
1.7692307692307694,4.035704719854438,SS,axial
3.269230769230769,4.0192628942810895,SS,axial
2.8447781041330247,2.952319334921181,SS,shear
1.5953450797432587,4.19745627339106,SS,axial
0.8081767123632992,9.575891283232897,CL,shear
2.4815802560998153,4.9795199629260125,CL,shear
3.4426665918843553,7.27164346825525,CL,axial
3.7377362119290245,4.008712084318676,SS,axial
3.3846153846153846,4.048868078068062,SS,axial
3.577008883309761,7.243358089931642,CL,axial
0.5184433785011333,5.964793643651836,SS,axial
1.8846153846153846,3.9656956090777427,SS,axial
4.530346041384773,4.029069176568164,SS,axial
4.893067311046436,4.636591573598651,CL,shear
3.287578867869555,7.324425065219256,CL,axial
3.8820679850777107,7.224083165533303,CL,axial
4.778777943496797,4.642241679070452,CL,shear
4.154007486089461,2.8155930391693014,SS,shear
2.6212704248392775,2.9953794998235277,SS,shear
2.5436127973957667,3.0160000540859673,SS,shear
3.153846153846154,3.9727927410680293,SS,axial
4.307632005834538,4.6695860919311025,CL,shear
3.275389920203675,7.328809642168348,CL,axial
2.5497833182437883,7.571622542171542,CL,axial
1.200525785848747,9.604867156409611,CL,axial
3.5,4.061624816420705,SS,axial
3.4751932933287963,2.883500897786145,SS,shear
2.561642693041083,7.571490805031012,CL,axial
1.3816066374296945,5.951722913145649,CL,shear
4.07651916490059,7.189091170296778,CL,axial
0.5957890046510618,15.540646131073323,CL,shear
0.7612228218881628,4.28997954711551,SS,axial
2.0,3.987931889153874,SS,axial
4.708004918616755,7.136062221178551,CL,axial
4.635213487472807,7.14586971209506,CL,axial
4.789288309688306,3.695167018965216,CL,shear
1.1678757619129332,6.497874359470398,CL,shear
2.1623499253481513,3.1825578205047607,SS,shear
3.0581089505855177,7.350389015924658,CL,axial
1.169143835731566,4.083137040246756,SS,shear
2.43110182259879,4.990640465401002,CL,shear
3.65366278010776,4.022532933968397,SS,axial
4.725782248585926,7.134558345249593,CL,axial
4.298433088735101,4.0091070235221915,SS,axial
4.279577938656792,4.007688957545305,SS,axial
3.7752861368963693,7.226451684271577,CL,axial
4.485406105957459,2.8035151151760402,SS,shear
2.7421211710587947,4.022708280871346,SS,axial
4.652135580741467,4.011192507117264,SS,axial
2.6743914180217327,7.485083036597218,CL,axial
0.7153423509674561,7.127946911562894,SS,shear
3.08899716371378,2.9243673237747103,SS,shear
4.430397809966794,2.8148859747824315,SS,shear
3.1022111865847184,3.994280543223472,SS,axial
0.9297754091392912,5.052458430764364,SS,shear
1.2903712016202913,9.065111933180525,CL,axial
3.6153846153846154,4.031466612519686,SS,axial
2.8531338031761067,3.9995435306981806,SS,axial
1.3562676805586715,5.996567136196412,CL,shear
1.1128579068889253,4.03256300912729,SS,axial
2.8581668218091867,7.390606381100793,CL,axial
3.025006645116545,7.35247984947157,CL,axial
0.6042531200094508,9.348040043378171,SS,shear
1.2696466618066768,6.182908437384137,CL,shear
2.858584924480539,3.9988473152752806,SS,axial
0.6522492242660092,8.234921768598063,SS,shear
1.2426199235145694,9.336517074154242,CL,axial
4.299137276359481,7.160669560052071,CL,axial
2.9247168593766544,7.371982056015589,CL,axial
1.9196688865809166,5.237979107224674,CL,shear
1.878455701339213,3.3282052542078486,SS,shear
4.044677504435084,2.8217293148140468,SS,shear
0.7534829022757566,6.604079673831869,SS,shear
3.8843977243829473,4.696848934847027,CL,shear
2.27155386173585,5.03394042492732,CL,shear
0.633592257268513,14.118640908476197,CL,shear
2.1153846153846154,4.0022072759982406,SS,axial
4.885713289517339,3.9921953223587128,SS,axial
0.7214419799286099,11.375737667213789,CL,shear
1.000696165728527,3.988137892096252,SS,axial
1.4839184640555838,3.564347397593607,SS,shear
3.269230769230769,4.020753965585198,SS,axial
4.953632980516261,2.779667002113516,SS,shear
1.4191484375227328,4.481447504227106,SS,axial
3.730769230769231,4.0092777406758655,SS,axial
4.077318936797727,4.685757255529605,CL,shear
0.658231778435187,13.231986464877117,CL,shear
4.333650780388981,4.009724969410183,SS,axial
2.5071663844138263,7.571001909243473,CL,axial
4.108646677455852,4.684342655781996,CL,shear
1.0261599737302913,10.060371293846048,CL,axial
2.476061961213859,4.98066198306911,CL,shear
1.4721513833965008,3.575954492509055,SS,shear
2.230769230769231,4.034333793319533,SS,axial
3.114870589615089,4.7936632930237835,CL,shear
4.917314768561221,4.629718236558489,CL,shear
3.1323085589383926,2.8916235260231713,SS,shear
1.6465410896652612,4.143161885337381,SS,axial
4.051836596401135,2.8214002256655664,SS,shear
1.9039237357739984,8.039373999373367,CL,axial
1.9724437405895525,7.914988766892684,CL,axial
4.740645030709849,7.132238362613903,CL,axial
3.3846153846153846,4.04142391100232,SS,axial
4.74985189027993,4.475482013895718,CL,shear
3.8461538461538463,3.996505675775595,SS,axial
2.3461538461538463,4.092028296097364,SS,axial
3.62838279500601,2.860870026167973,SS,shear
0.7082211042791583,4.479473014195588,SS,axial
3.3991405853058008,7.284040059245887,CL,axial
3.9615384615384617,3.99017767780481,SS,axial
1.6171647388471653,5.665626993066745,CL,shear
3.3152896467885173,7.314683500789732,CL,axial
3.00930442657254,7.3557871630687295,CL,axial
0.7718969826107772,6.382176465812682,SS,shear
0.5897630578882052,9.74386483021071,SS,shear
2.6629328778543866,7.4945321080170455,CL,axial
0.7518921876517548,10.660936900239744,CL,shear
3.4253654426709685,4.060647232302608,SS,axial
4.63466879198617,2.7830465234432724,SS,shear
3.5,4.059918331303997,SS,axial
0.8170849185108879,10.950623129154293,CL,axial
4.351570727936248,2.467695235316347,SS,shear
0.7038391390322378,11.83848297060089,CL,shear
4.085659740857315,4.685395683503362,CL,shear
2.5289677595675704,7.57122891066582,CL,axial
2.6181384998401325,2.996132143690362,SS,shear
0.56236054479055,10.581987818297296,SS,shear
3.5899346569568866,7.24135643890701,CL,axial
4.302117433124165,2.8117808773497073,SS,shear
0.9491226731240932,4.940936233830604,SS,shear
4.8039236891435815,4.04200483013935,SS,axial
0.8899950888550627,5.311670315684848,SS,shear
1.5718798553234545,5.708520979724679,CL,shear
4.9469369721480945,1.128861418227765,SS,axial
0.6368979718456047,13.992826373561154,CL,shear
3.1748273159813705,4.78669856773948,CL,shear
0.7625489351624837,6.4919688710339996,SS,shear
3.874888335389004,2.834255498628347,SS,shear
1.9682682221113073,3.297977691532265,SS,shear
3.307345709488694,4.774163092148241,CL,shear
1.2478128086271183,6.240982554599592,CL,shear
3.957749179260949,3.9908003918137656,SS,axial
1.3281850241639512,6.051055231067816,CL,shear
4.5611268630208,7.155048715134475,CL,axial
2.215569629074084,5.053986830131152,CL,shear
1.2151280213296156,9.509737119920889,CL,axial
1.671011955846815,3.422489134615646,SS,shear
3.0718133048813376,4.799298510786977,CL,shear
1.7625777626572106,3.3754000893669738,SS,shear
3.872331406989278,3.993610379045149,SS,axial
1.7360873306519307,8.117714592591835,CL,axial
0.5385146035506296,11.423599281274683,SS,shear
3.0199294291655874,2.930930489847744,SS,shear
4.488576281726609,4.037224382392588,SS,axial
3.6609157545249653,4.020746130280855,SS,axial
4.490606583634893,2.803826284053896,SS,shear
2.3102723423755522,4.072904452168945,SS,axial
3.0923945329329108,2.9271621011497,SS,shear
3.6442482077819545,7.234910430364055,CL,axial
4.3765908080612235,4.022256492420414,SS,axial
3.7928016758405745,4.704318842700235,CL,shear
2.155376006972663,5.079506660121445,CL,shear
3.321493110696322,2.907657620531477,SS,shear
1.545487313932071,4.261374144706348,SS,axial
4.505887357739739,2.7279333778948636,SS,shear
4.832901079015016,2.7859666564826133,SS,shear
3.508380684006551,4.740795167085046,CL,shear
3.805113074428726,7.224730248944759,CL,axial
1.2837819121811778,9.105438421746348,CL,axial
4.164902738944429,4.682021702210772,CL,shear
2.6583803376059625,7.497078744717395,CL,axial
4.179151477851696,4.681390035270537,CL,shear
0.6912865688512031,7.509922270310821,SS,shear
3.3482612626237005,7.301030806944231,CL,axial
4.855444811832264,4.643759100399167,CL,shear
4.2811688075888,4.008370932866403,SS,axial
2.8369935936687503,4.845077689128246,CL,shear
4.46557509529652,2.8042596036495624,SS,shear
2.590613285684429,7.547912918195462,CL,axial
3.297329241463638,2.908794188671089,SS,shear
3.364061947715153,2.903207465827241,SS,shear
3.395929063526086,7.285105477297683,CL,axial
2.6506079187209544,2.9884285560549455,SS,shear
3.2717234351255295,4.020197292363249,SS,axial
3.0556666470864626,3.9903802259693517,SS,axial
1.4163170627525634,4.485279061589356,SS,axial
4.87711782832053,4.6435839249311,CL,shear
4.346048478729253,4.049392734753051,SS,axial
2.928666199706561,2.941047234684229,SS,shear
1.608246633504857,4.182226913153477,SS,axial
3.4051329447609016,4.759889852387079,CL,shear
3.613908428235492,4.7246022002228845,CL,shear
4.522619977847237,4.6491723262617715,CL,shear
2.5085680015746563,3.026501956751119,SS,shear
2.633480382521288,4.058229325241163,SS,axial
0.9820509535373152,4.768152523624066,SS,shear
4.894405412579303,3.9914225874377594,SS,axial
4.364977092653031,4.018470324170309,SS,axial
1.1379171168262092,6.61769694206959,CL,shear
3.97131874885538,3.9900193142288845,SS,axial
4.285189837761537,2.809769709114044,SS,shear
0.7561392316747955,10.568538100387915,CL,shear
2.4981686528036207,7.573742575720084,CL,axial
3.365847452223809,4.043158354927918,SS,axial
4.318493462265687,4.668578179775675,CL,shear
4.066644499187271,2.8204063128353147,SS,shear
1.7559386602373745,3.3784390603664463,SS,shear
2.8775241079189655,2.9476457454363825,SS,shear
3.219056603267551,7.343291380341902,CL,axial
1.3544870107915257,5.999801035042739,CL,shear
2.526721404878373,4.10826456986693,SS,axial
2.6693182710706327,4.044837550812854,SS,axial
3.325954285337484,7.31029749355283,CL,axial
0.6518363175837086,13.475280605542501,CL,axial
3.431932001695292,7.274952629480508,CL,axial
4.528148331411659,7.15438699761531,CL,axial
0.6787602338207592,12.566919882010012,CL,shear
1.0740419055427568,6.926849192340307,CL,shear
2.9519078372776826,2.9382598082330276,SS,shear
4.792523639464225,3.996358182248151,SS,axial
2.7142522399403313,4.0293879545153946,SS,axial
1.3086667205340743,4.286607814279916,SS,axial
4.3311017340576266,4.6674532496109755,CL,shear
1.5270256919437188,3.524797103969897,SS,shear
1.6157269765670577,3.4570309595019117,SS,shear
3.9003223844745305,2.832099788569181,SS,shear
1.7458570174803492,3.3831358622253402,SS,shear
3.2812138113439304,4.002141236826152,SS,axial
2.8052070635678934,7.411555676340018,CL,axial
4.5974251435468805,2.800728733794426,SS,shear
2.0518592856943485,5.135681349934413,CL,shear
